id,f1,f2,b4,det_entropy_log_1_coef,det_TKEO_std_3_coef,det_TKEO_std_6_coef,app_TKEO_std_3_coef,det_LT_entropy_log_1_coef,app_LT_entropy_shannon_7_coef,tqwt_entropy_shannon_dec_11,tqwt_entropy_shannon_dec_15,tqwt_entropy_shannon_dec_17,tqwt_entropy_shannon_dec_18,tqwt_entropy_shannon_dec_19,tqwt_entropy_shannon_dec_20,tqwt_entropy_shannon_dec_27,tqwt_entropy_log_dec_17,tqwt_entropy_log_dec_18,tqwt_entropy_log_dec_19,tqwt_entropy_log_dec_20,tqwt_entropy_log_dec_23,tqwt_entropy_log_dec_25,tqwt_entropy_log_dec_27,tqwt_entropy_log_dec_28,tqwt_entropy_log_dec_31,tqwt_entropy_log_dec_32,tqwt_entropy_log_dec_33,tqwt_entropy_log_dec_34,tqwt_entropy_log_dec_35,tqwt_entropy_log_dec_36,class
4,532.1190414,1166.500244,423.5712661,-339.2109,13.3008,218.8199,118561.5599,-1536.9456,-521533.1824,0.5748,37.8686,49.0843,30.106,24.8291,15.7305,0.41435,-48933.9492,-44445.3766,-35304.6976,-31110.4548,-9730.5812,-14499.6195,-11783.2871,-9932.3326,-5678.9353,-4638.6558,-4145.9287,-3773.5532,-3417.1636,-2488.0987,1
5,600.5084218,1081.275302,185.7944207,-781.4711,0.4086,1.2978,43366.2447,-1872.3739,-422162.0213,54.828,1796.831,1576.5198,-336.4513,346.5392,899.5423,82.9278,-13002.1821,-5975.2999,-7441.2039,-8784.1603,-9374.0015,-4719.605,-4582.0984,-9806.3966,-5932.7215,-5857.084,-4862.9374,-4037.5865,-3321.0018,-2618.7648,1
5,590.7963713,1073.178259,321.0184361,-741.8111,0.51052,6.3156,39440.0424,-1821.2029,-413475.662,76.8695,1443.0182,1440.9688,-377.3318,-392.3764,802.002,109.6956,-16080.4677,-5968.8598,-5565.4106,-9603.6415,-8330.6475,-5911.4553,-4284.3072,-7855.9673,-6005.3519,-5377.1549,-4534.215,-4001.3696,-3361.4122,-2613.7709,1
5,562.3489087,1036.794374,92.16043092,-863.8619,0.25363,4.5364,34450.9923,-1922.3978,-400737.4611,67.2503,1157.2948,1404.851,51.7503,-1281.2416,765.2868,181.0517,-17132.5584,-7199.8939,-3297.7372,-8329.2895,-7084.8432,-6639.0675,-3310.0068,-5146.6815,-5975.1027,-5425.2728,-4757.9292,-4002.4309,-3399.7489,-2545.0627,1
6,674.2928811,1233.233624,111.9415107,-720.2081,1.825,55.1712,41726.6964,-1795.5718,-411917.2959,34.2187,858.5983,1399.3797,1039.0884,870.4126,404.6962,253.6645,-16568.3734,-14693.5379,-13308.8679,-15861.1617,-8029.7722,-3684.6015,-2378.6337,-5977.6738,-4127.1572,-3634.0624,-2962.9007,-2314.1312,-1942.6818,-1885.6751,1
6,634.0314868,1205.012396,66.93169018,-751.0169,0.91461,3.8701,40694.7205,-1832.6148,-413512.5441,27.9833,683.9512,1051.4217,1031.3484,840.8082,465.7592,239.6689,-22214.5514,-15224.1345,-13441.4347,-14475.7392,-9509.1233,-2312.4763,-2008.5579,-6350.3851,-3722.502,-3077.1599,-2250.7059,-1758.081,-1562.1811,-1680.3761,1
6,683.0342196,1186.320411,3747.001066,-790.1651,0.2941,3.5438,41168.5145,-1874.1506,-416404.7859,47.1773,656.9798,1280.8829,1042.8906,844.7578,304.7567,167.0536,-16804.7871,-14574.7164,-13522.9136,-17160.9831,-10798.1577,-4253.7736,-3479.8291,-8184.0043,-4681.382,-4129.2209,-3236.7867,-2500.1626,-2164.4239,-2204.583,1
7,468.3875629,1147.07239,554.072188,-323.3659,486.0427,375.1989,38681.6673,-1369.3658,-393530.5746,59.2803,1016.9497,494.2846,293.0031,195.2149,280.692,4.6908,-32890.79,-28554.2415,-25328.8838,-16979.3687,-6675.5354,-3195.2377,-9101.2884,-7270.3224,-4434.1443,-3456.3139,-2968.0158,-2876.2294,-2412.1762,-2182.8382,1
7,592.5682545,1215.341781,875.6495434,-790.3854,415.2121,52.3539,13911.9853,-1732.704,-303146.3012,69.2647,898.4658,651.1958,482.115,352.468,509.147,7.6882,-29284.4258,-23946.0347,-21692.0394,-13406.2086,-5972.1037,-2822.4974,-8857.9132,-6811.5961,-4379.6358,-3440.3922,-2856.7938,-2249.0694,-1799.2464,-1976.7618,1
7,545.7672356,1194.092048,225.3498175,-911.5931,198.7147,7246.6664,28858.8946,-1830.2741,-295288.9344,100.0854,796.5541,603.518,437.1296,267.8058,342.3638,14.8676,-29856.7824,-25338.6788,-23267.7467,-16002.54,-6225.4533,-3227.6359,-7472.5569,-5716.3934,-3686.9693,-3148.7728,-2682.5748,-2216.6874,-1923.5239,-2010.5172,1
8,597.0531046,1352.338716,674.5090129,-698.3769,1.1427,51.0548,32934.8403,-1759.9807,-396348.5639,186.2553,731.8167,1429.3312,285.0552,680.9706,756.438,-529.9264,-15251.6505,-9954.3519,-7061.0835,-10653.2859,-7216.3239,-3119.8603,-554.1494,-2693.5399,-5445.9683,-4681.0521,-3922.2129,-3368.2931,-2805.2843,-2562.6824,1
8,605.9428457,1329.57348,1028.591544,-680.5009,1.0338,57.2648,39325.3317,-1757.7327,-413812.7366,353.6001,1379.4513,1228.0278,-1397.9209,-507.5515,599.5949,239.3253,-14026.4328,-4677.9015,-4050.8023,-13519.1887,-6969.1893,-3867.6598,-2666.4119,-6566.6159,-5949.9979,-5148.1852,-4438.4344,-3688.8884,-3162.5305,-2787.3234,1
8,614.1762786,1355.202945,622.4837271,-699.039,1.0282,17.0461,41019.3743,-1772.1986,-418388.3226,388.7386,1043.4278,1254.2477,-1028.803,367.6772,454.2216,234.7961,-14320.9213,-5182.0261,-5483.9143,-15319.7662,-7592.5139,-3346.2271,-2733.2963,-7326.6653,-5926.9043,-5246.9649,-4463.661,-3800.4002,-3230.8607,-2814.4232,1
9,690.9035785,1121.59864,920.0921849,-727.8311,2.2648,32.0925,54059.8272,-1835.6674,-442102.4298,4.9886,601.9987,1434.4657,1271.5703,536.8443,279.1614,7.5652,-15741.5102,-11951.0711,-18777.973,-17920.0708,-14114.4004,-4978.6589,-7950.6766,-7610.2649,-5568.9928,-4845.2693,-4276.1395,-3790.6375,-3214.6285,-2519.4112,1
9,684.0394336,1200.32956,1104.128878,-696.79,2.4499,11.2505,54620.3584,-1809.8784,-442886.6251,12.5153,467.1564,1253.4711,887.5287,724.8863,434.5705,10.7184,-12526.4402,-9596.7912,-15948.4908,-15188.8064,-12882.7871,-4164.3544,-7478.446,-7589.2676,-5377.253,-4626.5547,-4207.8558,-3613.8776,-3207.0914,-2506.67,1
9,695.4980887,1132.271131,1106.233786,-644.5725,4.2786,29.2761,52914.9572,-1755.2405,-439637.2066,5.9517,731.7364,1464.0552,1312.2902,583.0081,298.071,8.1177,-15574.5015,-11622.8719,-18280.8698,-17392.9149,-14247.0655,-5030.5694,-7900.8525,-7434.3982,-5074.6601,-4530.977,-4197.3908,-3712.9487,-3130.5941,-2505.9313,1
10,528.7586345,910.7400221,348.9398554,-758.8304,0.77157,27.5376,22089.9531,-1772.4339,-359282.4124,0.55683,14.0618,43.9074,98.9831,120.7138,51.226,28.1212,-51962.7834,-35838.709,-27856.0448,-26438.9454,-18781.6657,-13858.4148,-6369.9783,-5112.1635,-6764.0331,-5782.5853,-4904.554,-4298.7564,-3687.36,-4825.3535,1
10,520.5188847,844.8489011,46.84986653,-587.2733,978.9663,27023.7945,107400.0879,-1649.1444,-394411.6803,0.17619,20.0239,81.1637,135.7239,208.2951,120.1143,13.5544,-46045.8759,-33586.1446,-23779.5578,-21724.7348,-15923.761,-13688.9321,-7085.4345,-7169.2147,-7447.5473,-6049.7004,-5152.5954,-4683.7863,-3949.6415,-5101.7769,1
10,541.9708101,903.322809,123.9351855,-693.8712,1107.4968,31298.1333,131146.5964,-1744.7142,-386968.032,0.63627,22.9142,54.3767,106.7866,115.3521,70.4313,2.8597,-49524.2772,-35076.22,-27818.3921,-24870.408,-16418.009,-16322.937,-9187.0673,-8362.9323,-7574.6534,-6179.1058,-5402.1879,-4787.9047,-4174.8714,-5300.1148,1
11,577.9882193,1204.506346,277.2480512,-721.1135,1.8797,53.4356,68052.2344,-1860.2621,-463155.3466,178.0034,878.4841,978.2902,1308.8903,1097.8787,454.3509,0.83562,-22793.2255,-11318.1989,-9114.4637,-15447.7208,-7920.3516,-3179.989,-11483.3723,-8656.0437,-3712.1852,-2922.2306,-2474.7256,-2044.4926,-1596.5095,-1608.2985,0
11,583.5872685,1199.841112,178.4937734,-714.8104,4.9212,20.7578,66843.9572,-1854.9739,-460777.8397,171.918,573.7312,922.0746,1288.4034,1085.8629,417.9541,1.0129,-23797.5318,-11728.483,-9279.0599,-16063.5811,-9581.2287,-4088.9816,-11793.133,-9184.9228,-4559.6639,-3427.3103,-2711.4589,-2195.1431,-1748.7514,-1850.2081,0
11,588.7673238,1179.520943,436.439165,-636.7017,1.6785,8.4974,63510.8308,-1767.0121,-455955.8012,141.1315,546.6241,964.4979,1090.1644,1066.1455,528.2273,1.2004,-23489.9853,-14567.6099,-10235.4592,-14204.6979,-9429.6363,-3197.066,-11841.7301,-9465.4967,-4575.486,-3502.6442,-2993.1688,-2604.5534,-2202.2773,-2358.1628,0
12,568.5138755,1005.997522,963.0397844,-699.929,1.8553,25.0111,33423.6832,-1759.9784,-395818.8216,25.2735,907.6941,679.8761,466.3736,464.0577,292.3409,-505.7002,-28117.212,-25273.3176,-18785.5101,-18165.4162,-8088.8335,-3335.59,-681.9794,-2594.5923,-2958.5182,-2620.2035,-2378.3168,-1942.0822,-1751.1884,-1760.9933,1
12,652.7802218,1006.474881,935.7240389,-707.64,1.4679,7.6343,34356.2983,-1771.6765,-399617.254,27.1324,1023.1764,997.359,502.5973,479.6797,312.3778,-1092.4512,-22255.7786,-24920.4542,-18577.4251,-17552.8145,-7356.778,-2452.2991,-374.8258,-2591.3762,-3236.3266,-2792.6382,-2577.0307,-2032.7838,-1847.7044,-1726.3914,1
12,885.5253383,1192.104053,482.07877,-714.6404,1.0742,14.0269,35642.674,-1777.2292,-402039.6645,8.9138,1268.9274,830.48,504.3555,489.9503,269.3084,150.4142,-25014.7262,-23871.9505,-18202.1399,-18492.6393,-9438.8399,-3891.9763,-1473.1594,-3809.7678,-3654.7193,-3191.3592,-2996.3484,-2491.8388,-2177.7598,-2011.4057,1
13,530.1320949,1052.028906,230.3750004,-695.6807,1.0829,12.0369,59036.2656,-1814.3893,-447704.8694,90.2927,1223.3636,864.8878,899.0901,984.2877,550.4265,13.0748,-24522.6445,-18617.0172,-11974.9287,-13856.8643,-8530.465,-1397.7574,-7410.3605,-9842.9273,-4655.59,-3827.0036,-3343.9712,-2822.5121,-2237.4435,-2087.4235,1
13,600.7087065,1095.70526,154.9325139,-249.6691,1704.644,18641.7509,67113.1127,-1337.2197,-430515.8878,54.5815,920.9153,693.1914,721.084,690.5475,338.2709,12.7429,-28107.8447,-21299.8352,-16229.3957,-17504.5129,-8485.9469,-2817.8752,-8527.8369,-7208.1371,-3791.1956,-3285.4991,-2918.3182,-2695.6019,-2216.2416,-2054.7933,1
13,596.5917789,1040.527885,237.7716344,-573.2894,1.828,95.4178,66166.6441,-1703.4402,-456842.9452,43.2486,721.5052,1074.1985,989.6685,998.1938,449.1952,2.2758,-21289.7029,-16510.3944,-11652.8707,-15503.3482,-8291.1672,-2433.3266,-10518.3284,-9593.5918,-5003.2815,-4025.7607,-3457.9505,-2852.6281,-2377.6668,-2295.3298,1
14,413.7350847,1220.773613,88.41850882,-503.3071,2.8959,50.0399,78731.5293,-1653.6925,-479447.5238,5.5141,301.3012,675.768,664.3098,377.1118,161.7912,273.0305,-27978.8991,-21727.1713,-20582.7061,-22164.8708,-8422.9149,-7443.8083,-1971.8253,-2341.7762,-4461.7442,-3919.3234,-3975.3701,-3589.2522,-3059.6473,-2545.225,0
14,472.6526236,1263.640756,144.2347684,-471.4421,5.8964,76.3724,77879.3155,-1619.197,-478102.1104,8.1092,387.2381,982.237,890.7715,538.5111,229.4041,201.2034,-22306.1152,-18460.3198,-17688.2421,-20817.5391,-9943.7753,-9918.5364,-3118.4559,-2824.6428,-4536.2746,-4295.6768,-3966.8428,-3590.6391,-3109.5031,-2562.3997,0
14,587.7021388,1261.11688,110.7879303,-543.7564,7.5875,35.1085,75711.3341,-1695.4006,-476581.5104,2.2543,137.5234,605.0638,615.8434,423.4354,262.6602,261.6431,-28245.3148,-22579.4071,-20902.5656,-19082.4751,-10146.2447,-8176.2092,-2411.168,-2651.2462,-5176.6083,-4483.0682,-4170.2422,-3551.6283,-2885.8923,-2560.231,0
15,473.2741614,1061.756507,2090.693962,-740.1894,1.2803,10.0274,27325.883,-1780.1261,-381067.3078,0.26258,3.349,4.1906,18.6882,41.4071,36.1711,4.6397,-67757.9606,-45852.2653,-33260.255,-27733.811,-19729.9771,-16566.6645,-8637.4779,-7920.0339,-7234.1761,-5860.8677,-5107.2901,-4867.5298,-4173.6535,-5202.6634,1
15,495.4427776,1105.815035,135.2796809,-710.8018,2.7668,170.8449,29154.239,-1754.4411,-385498.649,0.039178,1.0267,3.3529,12.6114,23.8599,19.7567,3.7915,-70980.6829,-49959.4191,-37347.5833,-31575.7088,-21790.5881,-17234.5604,-9207.1554,-8531.7035,-7154.7171,-5800.1924,-5073.1728,-4940.9544,-4255.1858,-5391.7568,1
15,485.3734409,1008.973608,322.6253751,-669.0768,1.3801,70.9287,27059.1242,-1705.1983,-382288.4611,0.047786,1.0171,3.2394,10.0542,15.8805,14.8576,6.7375,-70510.5973,-51247.5308,-39418.4176,-32000.8142,-23715.0704,-16830.7371,-8339.2366,-7423.8905,-7263.5474,-5680.4284,-4919.3506,-4715.042,-4074.5835,-5348.0421,1
16,682.1836015,1209.085895,176.2825165,-446.8667,14.4547,357.0386,96482.5085,-1618.6302,-504376.0238,3.8623,1084.1359,1102.7973,1035.8902,752.0844,426.2832,11.7978,-21102.1211,-16047.3829,-14909.4841,-15338.6722,-11812.5491,-3720.2433,-7777.0227,-7490.0794,-3841.0263,-3299.3485,-3248.6816,-2900.9677,-2364.0502,-2266.5405,1
16,680.701195,1193.497792,75.90978804,-268.2075,3902.4994,18967.435,108159.7515,-1440.8378,-507954.0418,4.3725,1094.6461,1132.6584,1079.8335,569.6333,303.0501,16.3811,-20919.7358,-15540.6804,-17481.3789,-17306.028,-12863.095,-4497.3893,-7202.6113,-7764.6075,-3777.8592,-3137.6885,-3069.7434,-2738.403,-2294.9196,-2388.9262,1
16,822.1848024,1113.372261,200.6562217,-36.2491,3032.9959,19332.3281,85631.8992,-1153.533,-446279.3296,3.9389,1325.197,986.0591,813.9968,492.3167,285.7316,5.6477,-22868.7529,-18971.7322,-18424.2887,-17573.5261,-11263.8267,-4297.7771,-8377.5454,-6271.4245,-4004.0532,-3298.0146,-2982.7331,-2571.0542,-2114.5639,-1791.919,1
17,820.359585,1481.345894,326.9916575,-571.1603,3.3701,70.7987,75763.1209,-1722.3349,-475037.9085,79.9584,861.9814,1281.3985,513.1906,289.5295,391.3755,0.38453,-18672.3385,-24273.2001,-22894.9707,-15037.3468,-12416.5435,-7882.1022,-12100.0926,-10021.1676,-5241.4105,-4277.1401,-3800.6355,-3630.4224,-3121.5573,-3803.1152,1
17,814.3764502,1440.188919,354.4293505,-575.3084,3.0564,28.0736,80537.069,-1732.8917,-479945.8429,104.5978,1071.5311,1369.6908,674.9013,370.9219,428.426,0.57924,-17338.2761,-21018.7636,-20840.4,-14766.565,-11180.2089,-7788.36,-11734.7079,-9559.0356,-4960.1073,-4090.8784,-3722.8548,-3504.9009,-3107.794,-3698.075,1
17,827.7795655,1473.833183,1111.706182,-631.906,2.1981,54.4964,69301.4245,-1770.348,-467504.4628,89.9651,944.2617,1263.81,621.8789,262.8632,244.0813,0.68453,-18920.5907,-22051.9733,-22932.0408,-18501.2795,-13271.3398,-7064.2963,-11621.1822,-9836.8146,-4914.9609,-4114.4411,-3757.4271,-3552.3314,-3018.5459,-3679.7315,1
18,922.2675985,1296.395864,233.0732404,-558.5065,10.2366,689.5707,44507.0485,-1650.5203,-419715.4155,0.45967,64.0515,42.4626,7.6298,6.9299,11.6085,5.809,-50715.281,-52762.6283,-43317.7329,-33779.4855,-16943.2706,-9836.0853,-8301.6796,-9753.0461,-4124.2707,-3375.467,-3300.877,-3675.4048,-3409.3172,-3653.4356,1
18,784.8503875,1242.750233,414.0134884,-428.3711,1270.4112,16298.7867,63033.1553,-1537.4158,-442863.1688,0.63639,58.498,54.3793,32.0231,17.8946,23.4948,1.7944,-51167.4091,-43362.1592,-38389.3941,-29719.1759,-16752.9397,-8821.7794,-10434.5869,-9562.1277,-4650.2919,-3684.7573,-3312.1363,-3643.6602,-3379.3665,-3631.3386,1
18,886.1136842,1223.356541,384.9038777,-608.9747,2.2099,211.2359,42516.849,-1702.9356,-426449.4745,0.61257,135.6668,94.9521,26.3709,14.7604,15.9252,4.8803,-45708.9942,-46054.6361,-39391.0583,-31794.961,-17573.8725,-9396.1942,-8283.2609,-10074.7273,-4744.9494,-3687.1798,-3300.9391,-3722.5451,-3358.3475,-3659.1163,1
19,694.1415423,1143.787452,71.97073741,-734.7766,1.0099,11.9709,47588.828,-1836.6488,-430473.3796,11.706,298.7329,795.7918,703.257,327.6842,147.9848,30.255,-25795.5697,-20695.5779,-21996.2476,-20552.6394,-15968.3417,-5811.473,-6295.2562,-9151.3039,-4396.4499,-3626.6955,-3373.81,-3539.3296,-3054.5082,-3523.0493,1
19,684.8702565,1189.383319,140.7475565,-706.4726,1.3013,8.912,49789.5928,-1809.5367,-434995.8402,23.9981,334.5486,572.8206,586.2783,227.5473,97.1334,11.5355,-29403.9529,-21533.0514,-24166.9624,-22782.9715,-16658.148,-6188.9193,-7329.7262,-8801.5382,-4683.9787,-3823.2041,-3472.8059,-3445.1453,-3025.066,-3531.5777,1
19,751.7470438,1179.710597,1113.323149,-725.4544,1.773,4.8076,48144.8083,-1822.9588,-428435.8838,64.9203,713.9922,1067.2449,619.7108,247.9713,117.2516,40.8858,-21843.634,-22132.0518,-23970.7387,-21897.6353,-15623.2333,-5216.0824,-5883.9845,-9459.5711,-5106.2311,-4185.7547,-3836.4166,-3552.2105,-2985.7412,-3724.6842,1
20,658.7072609,1258.659351,310.0802789,-703.3581,1.8861,1.7222,51049.8328,-1808.0823,-436477.5974,6.1126,130,851.1872,1177.9967,879.8674,467.5529,144.7591,-23921.0794,-14234.4759,-13466.6478,-14054.5389,-7902.8973,-9932.6317,-3710.7492,-3855.9528,-4687.6076,-3794.1053,-3447.6463,-3504.5051,-3113.4449,-2507.3251,1
20,649.3859769,1240.753695,642.3276689,-687.1813,2.6025,24.4602,52044.4632,-1795.1001,-437553.8472,19.2675,97.2964,404.0422,657.8337,517.4938,266.3551,127.8448,-33956.2482,-22485.8107,-19888.3469,-18681.7736,-8924.39,-10069.8576,-4291.7019,-4285.4958,-4324.8091,-3183.887,-2871.2543,-3420.5892,-3147.4035,-2556.585,1
20,618.6895318,1249.898825,124.0705076,-691.3593,2.0259,20.3269,51044.4413,-1798.1695,-435733.4311,4.0086,88.5399,678.8504,1008.2698,733.1787,395.227,114.2388,-26156.5958,-16717.7338,-15839.4325,-15165.9145,-8303.0218,-10076.3478,-4124.138,-4281.3632,-5229.1133,-4244.1033,-3857.7818,-3731.425,-3265.3343,-2524.6097,1
21,460.5969265,761.3576607,1079.004918,-684.2179,0.9079,100.4936,40842.5404,-1763.8142,-413509.1006,2.3444,31.4885,267.7455,453.8445,404.1095,328.4709,178.309,-37012.2163,-25179.7083,-21008.2296,-16726.4915,-9994.3321,-4837.3973,-3333.5662,-7063.0983,-5099.4016,-4033.0621,-3537.0369,-3708.8559,-3175.9953,-3739.7722,1
21,446.4570299,909.0864269,553.8348479,-809.8827,0.52043,10.5298,39639.3605,-1889.7032,-413571.6171,0.90551,56.7789,147.5848,174.709,194.6183,209.0852,176.6028,-42479.1134,-32901.9501,-25152.6043,-18679.5634,-11328.594,-4954.4242,-3395.0858,-6944.3549,-4709.0698,-3623.7947,-3210.9083,-3598.4705,-3216.0223,-3574.6347,1
21,512.1304031,869.3390014,406.5459322,-660.957,1.1462,8.8937,42641.0749,-1746.6945,-417515.3024,2.4693,64.3152,273.8064,319.4761,357.1705,366.7097,46.8865,-36170.9384,-29511.066,-21350.9583,-15931.9113,-13410.3343,-7108.4578,-5596.4021,-8948.877,-4683.7979,-3620.1464,-3348.2983,-3519.321,-3176.8559,-3635.3304,1
22,682.2828695,1466.42916,345.1345103,-658.6413,1.9079,30.5273,92119.4153,-1828.2804,-495032.4539,94.4721,640.5706,1595.3233,1189.564,681.4456,254.8949,0.36782,-12476.6374,-8653.2756,-15685.6658,-17327.8715,-4938.8848,-5643.9984,-11912.5657,-9474.2892,-6365.2448,-5228.1126,-4509.6364,-4174.2017,-3528.3925,-2478.3071,1
22,719.6112068,1485.418989,306.5096708,-681.5459,1.2331,92.56,111916.9787,-1874.5511,-514510.3806,280.0382,872.6383,1131.345,1219.2598,974.4262,765.5515,0.77702,-9028.5872,-10640.5254,-12045.2639,-10637.8294,-4272.0157,-9326.9542,-12718.2842,-10135.7551,-6357.6995,-5189.8439,-4391.0744,-3742.7644,-3233.2317,-2607.3467,1
22,765.9376467,1488.897755,240.4185041,-627.1866,1.9898,447.9514,116212.1479,-1818.6659,-516917.6738,633.96,1432.8793,-696.9262,1170.6526,678.7281,434.7978,0.30421,-5782.0484,-9605.6183,-15534.6762,-14431.8979,-4363.8795,-11305.9192,-12597.3518,-10796.287,-6489.4806,-5697.6981,-4761.0835,-4239.3816,-3541.5868,-2798.7492,1
